time_duration_60; mem_usage_sample_time_5
1619011682.150488; 2313436
1619011687.3223844; 2313808
1619011692.431537; 2313944
1619011697.5675123; 2314340
1619011702.6869578; 2315252
1619011707.837367; 2314980
1619011712.9743402; 2309128
1619011718.0884433; 2309908
1619011723.230913; 2309932
1619011728.3623445; 2310344
1619011733.510334; 2309868
1619011738.63023; 2310324
