time_duration_60; cpu_average_usage_sample_time_5
1619011687.3223844; 0.013113161728994682
1619011692.6187007; 0.021060275962236696
1619011697.828134; 0.018780487804878065
1619011703.0590851; 0.019301246029806984
1619011708.307493; 0.019249512670565294
1619011713.56943; 0.02197802197802201
1619011718.793896; 0.015121951219512209
1619011724.0434012; 0.01781791554796197
1619011729.2838666; 0.016629982880900007
1619011734.5112855; 0.018509498295177784
1619011739.770339; 0.01536960234203466
1619011745.025205; 0.023890784982935176
